iterate,quad-digits,approx
0,1022,0
0,1021,405753445938236940947099254771972315920302105198618731658313120302551598902769738789443386353824821012656769668346006143580484956807230615064474015012867479622474555902747850007737126782754630115441176392481926534007710933465049384534747443226263373193005510371740184043685194900172165682373489677511415248069673538861869107504806161404411136835681777889351262208266691120513445595097592039539021730508822586489171509638617602670484123897045117715779979864985046827213022565154896784071828345677829347414609308491027606274705783698346790989891896209366134153868565164615281024329909977940789405288028402556267680
0,1020,3636082258634293967068719863124082761981799021969937574176515741141851701710684288741663856445518244890148413522974278394153857559811463888125903687106739637880440963269757755296118167194634274922155669614353851929791133703591701481236414214207036530228332014536633096437836267392130605224076528447671580734883134473848511676860356449553600039051750023126548739046148296208790564934712907958049030238626295580818983320839869839607770634881074713154526234553749402280808778409882814827872591238371702929037467249833796047504080909755684787819000379155546734331735354440500680727864641081708071581304949899002446151
0,1019,984084821011681219521872665966375040790933617090319138014024764120434104470934211196150100938533343939576387788115937937203234748794954992126295567369476530124186502443153087382283753806624804236722363741144986077482550509320297500534294014989178000585629803842781352968150896179167162782527897781280382373274042005814381477499901758568358180890645857608141535772349553725455933536277035527037701487242111796902039057386352366336120077187518567870652566576306045721534425300539027603745384664048985933389580575143250030160560960704267590757619487686866679683306297241433557565353697417025664248263393864734408002
0,1018,225609150692928870081296412452806021191601085669070328347128853414334089176437672648077151604867456131275891626209491394261012602422944716098796162429944981651039929966516636306079995619643293818639529605224213772035723365691244696649906776773595022256597327296648067591975706238399979904213187357056829782093820527706615709869529009204058826062204677741955200332305226611336233829094980965872996984243937845634651405387294727852644959542921778446025544366610512502884550129357932907125877400644632688762937614684918673084785935448711659522326353908735479536609806146212630578113387513389777586204950807465481806
0,1017,200126217207501542281002586509112151416161667339205133777428729589930092655822822092929643928067270053410379913631177602661199496543074292559111932051507278623420917893634845974520462267792111526425454836994884913823633208973051252733708847924320084987498744026043307060800437382970429893452786234051773595188003677846560910412327350732132138506768586052556751157999153057963441428507879628498761034236117849462971431196227724050462873206806284966102057474993418972407616344068277224740815511161164057243649207692697277714426209657612850375974045107461048935510747100435500088350498018284636715325639457089627447
0,1016,67912069676988542317960493517914863278195127984278349812018126503746676583207227377324409640243077964096313851223354622077663539797546922771334282080700866897511327979671354081384165237929722818182151261789825635589567240954136482921480128217647646270513480876932261549159975661331315146024408842717038626915377910304890182622954706911371170573237356260539910018223878309408379065005028812694387987695119689372567310028393657569664844803174167306907894454340853271352168397265175267565097893618166232455255606983985308992020964366300073481938492378345770804728031207704941425387211595013743518205256786969980472
0,1015,18913782296042750222331151216048734646122758893363064772525400825658004223376015451114093210850553784806671316335849028245060151069713708938564500347425640830087303354908131086704447400424579198489130589581614299884906839541716951376391553184217499226826680056827476711368461377151109654629238589805463448635135761019865284198352981068580734271458477318138784821835408616739847443197041432803944284061626261356963151591098686588111271112385960810569645397720621479940738733203786781889775455774799801880282732603388924144013258579509078778095771822547006184066269853627518870158229646869297592036723511134194328
0,1014,3801751845438302862555704612782613471267834457083845029669455816945960106576914393749766079906905159824393172726751455944774459927059496478542632769196543733558018050093352183756341357162467698860221302411465775667482810459343174187338539455414218085069768656996570656544516021836871215926168567091900485373991710501110414222438483096358131009834833982974485719863127732907869658525546700101081496194761011411197472844962281097976561116196055454231945371242284756590511768414128128428098158185443998392080595048163880729238380565901563464991325965280207805409785334102835688582311841405197230814864968737752255
0,1013,535395388168098114965339111370524835629517080491469749948877444395360533667284528967560482512262525873984255298217222708095737073463921137509672932023875986551495542077425628504618740425462719410729470357887228061713980064832609748806772436791691178189381747284278850008889914529487358732812698434349713137115593527177170639765351962106492862898870600832714461836359415011248145129869854099042461383099470041390721993209711541619749629292034778966902467667486748335697928244294820255683254138106209170404419958472943836319918965367713107758835621034481350639196963754152750603636473512001539310000140311137219
